-1.0,-6.0
-0.9,-4.96
-0.8,-4.03
-0.7000000000000001,-3.21
-0.6000000000000001,-2.5
-0.5000000000000001,-1.88
-0.40000000000000013,-1.34
-0.30000000000000016,-0.9
-0.20000000000000015,-0.53
-0.10000000000000014,-0.23
-1.3877787807814457e-16,0.0
0.09999999999999987,0.17
0.19999999999999987,0.29
0.2999999999999999,0.36
0.3999999999999999,0.38
0.4999999999999999,0.38
0.5999999999999999,0.34
0.6999999999999998,0.27
0.7999999999999998,0.19
0.8999999999999998,0.1
0.9999999999999998,0.0
1.0999999999999999,-0.1
1.2,-0.19
1.3,-0.27
1.4000000000000001,-0.34
1.5000000000000002,-0.38
1.6000000000000003,-0.38
1.7000000000000004,-0.36
1.8000000000000005,-0.29
1.9000000000000006,-0.17
2.0000000000000004,0.0
2.1000000000000005,0.23
2.2000000000000006,0.53
2.3000000000000007,0.9
2.400000000000001,1.34
2.500000000000001,1.88
2.600000000000001,2.5
2.700000000000001,3.21
2.800000000000001,4.03
2.9000000000000012,4.96
